Dimension;Mean;Calc_mean;Variance;Calc_variance
2;1.27324;1.27318;0.378861;0.378858
3;1.33333;1.33336;0.222222;0.222234
4;1.35812;1.35814;0.155504;0.155489
5;1.37143;1.37143;0.119184;0.119196
6;1.37968;1.37969;0.096484;0.0964885
7;1.38528;1.38531;0.0809955;0.0810007
8;1.38933;1.38934;0.0697683;0.069766
9;1.39239;1.39241;0.0612629;0.0612652
10;1.39478;1.39479;0.0545995;0.0545986
11;1.3967;1.39671;0.0492398;0.0492455
12;1.39827;1.3983;0.0448359;0.0448405
13;1.39959;1.39961;0.0411537;0.0411488
14;1.4007;1.40072;0.0380295;0.0380295
15;1.40166;1.40167;0.0353454;0.0353505
16;1.40249;1.40252;0.0330148;0.0330248
17;1.40322;1.40322;0.0309723;0.0309725
18;1.40386;1.40389;0.0291674;0.0291712
19;1.40444;1.40446;0.0275612;0.0275611
20;1.40495;1.40496;0.0261225;0.0261265
21;1.40541;1.40542;0.0248265;0.0248271
22;1.40583;1.40584;0.0236528;0.0236579
23;1.40621;1.40622;0.0225851;0.0225865
24;1.40655;1.40657;0.0216096;0.0216127
25;1.40687;1.40688;0.0207148;0.0207195
26;1.40716;1.40718;0.0198911;0.0198939
27;1.40743;1.40744;0.0191304;0.0191324
28;1.40768;1.40771;0.0184257;0.0184254
29;1.40792;1.40793;0.0177711;0.0177755
30;1.40813;1.40815;0.0171614;0.017162
31;1.40834;1.40834;0.0165921;0.0166
32;1.40852;1.40854;0.0160593;0.0160626
33;1.4087;1.40871;0.0155597;0.0155648
34;1.40887;1.40889;0.0150902;0.01509
35;1.40903;1.40904;0.0146483;0.0146537
36;1.40917;1.40919;0.0142314;0.0142392
37;1.40931;1.40933;0.0138377;0.0138402
38;1.40944;1.40946;0.0134651;0.0134712
39;1.40957;1.40959;0.0131121;0.0131152
40;1.40969;1.4097;0.0127771;0.0127803
41;1.4098;1.40982;0.0124588;0.0124619
42;1.40991;1.40993;0.0121559;0.0121606
43;1.41001;1.41002;0.0118674;0.0118722
44;1.41011;1.41012;0.0115923;0.0115957
45;1.4102;1.41022;0.0113297;0.0113357
46;1.41029;1.41031;0.0110787;0.0110837
47;1.41038;1.41039;0.0108386;0.0108458
48;1.41046;1.41048;0.0106087;0.0106145
49;1.41054;1.41055;0.0103883;0.0103916
50;1.41061;1.41063;0.0101769;0.0101812
51;1.41068;1.4107;0.00997388;0.00997958
52;1.41075;1.41077;0.00977884;0.00978423
53;1.41082;1.41083;0.00959128;0.00959615
54;1.41088;1.4109;0.00941077;0.00941559
55;1.41094;1.41096;0.00923694;0.00924058
56;1.411;1.41102;0.00906941;0.00907373
57;1.41106;1.41108;0.00890784;0.00891274
58;1.41112;1.41113;0.00875194;0.00875643
59;1.41117;1.41118;0.00860139;0.00860677
60;1.41122;1.41124;0.00845594;0.00846144
61;1.41127;1.41129;0.00831532;0.00832164
62;1.41132;1.41134;0.00817931;0.00818459
63;1.41137;1.41138;0.00804767;0.00805342
64;1.41141;1.41143;0.0079202;0.00792544
65;1.41145;1.41147;0.00779671;0.00780205
66;1.4115;1.41152;0.007677;0.00768101
67;1.41154;1.41155;0.00756092;0.00756432
68;1.41158;1.4116;0.0074483;0.00745238
69;1.41162;1.41163;0.00733898;0.00734199
70;1.41165;1.41167;0.00723282;0.00723857
71;1.41169;1.41171;0.00712969;0.00713452
72;1.41173;1.41174;0.00702946;0.00703281
73;1.41176;1.41177;0.00693201;0.00693557
74;1.41179;1.41181;0.00683723;0.00684249
75;1.41183;1.41185;0.006745;0.00675008
76;1.41186;1.41188;0.00665522;0.0066606
77;1.41189;1.41191;0.00656781;0.00657276
78;1.41192;1.41193;0.00648266;0.00648815
79;1.41195;1.41196;0.00639969;0.00640413
80;1.41198;1.41199;0.00631882;0.00632255
81;1.41201;1.41202;0.00623996;0.00624425
82;1.41203;1.41205;0.00616305;0.00616852
83;1.41206;1.41208;0.00608801;0.00609232
84;1.41209;1.4121;0.00601478;0.00601944
85;1.41211;1.41213;0.00594329;0.00594898
86;1.41214;1.41215;0.00587347;0.00587865
87;1.41216;1.41218;0.00580528;0.00581021
88;1.41218;1.41221;0.00573866;0.00574357
89;1.41221;1.41223;0.00567354;0.0056777
90;1.41223;1.41224;0.00560989;0.0056149
91;1.41225;1.41227;0.00554765;0.00555231
92;1.41227;1.41228;0.00548677;0.00549219
93;1.41229;1.41231;0.00542722;0.00543264
94;1.41231;1.41233;0.00536894;0.00537412
95;1.41233;1.41235;0.00531191;0.00531654
96;1.41235;1.41237;0.00525607;0.0052603
97;1.41237;1.41239;0.00520139;0.00520576
98;1.41239;1.41241;0.00514784;0.00515237
99;1.41241;1.41243;0.00509538;0.0051007
